"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"China","CHN","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18660000","4031000","15920000","4490000","5731000","5924000","3612000","3602000","7434000","4473000","3762000","4034000","",
"China","CHN","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","","0.2767134951043","","","","","","","","","","","","","","","","","0.81656338728731","1.58572039963991","2.2327335273882","2.48724014603979","2.5723707982857","2.23188825622131","2.07681182191389","2.17722223035377","1.30326805303612","1.05569915361614","0.643726395300042","0.800795812311661","0.905186006683284","0.812753973724309","0.90891971779748","1.26755175394354","1.26098010987556","1.37903354659398","1.33381118395375","1.56177681319462","1.86615491784989","1.70642775064637","1.89662655435219","2.23779793260921","2.1136245168856","1.94501094640821","2.28522317488339","2.25386057532097","2.83321224942597","3.23596585730356","3.81404326495762","3.57149136891144","4.29064420833228","4.83214347373742","4.97789383261223","4.79428306759067","4.63768148475175","4.59694577187859","4.30762013301569","4.65993030156704","4.88176432457932","5.01987253807208","",
"China","CHN","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.4444035033143","28.4444035033143","28.4444035033143","29.1798379309591","30.9322609072854","35.36764970505","36.6380549357878","37.1532697882413","40.0418658696007","42.3334489097155","45.4913414671426","47.3570329528504","49.9512601445572","53.9594494474179","57.0062715846974","57.6720821580887","57.9368884948273","58.3443371555774","58.1389909834921","59.7671520192021","60.5223950504802","58.9631004190853","58.4439359803988","58.3199925304497","57.3405511927563","58.7219450540285","59.1277397999306","59.9562754973057","60.5250946479758","","",
"China","CHN","Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)","TM.VAL.MRCH.OR.ZS","","11.2090868330593","","","","","","","","","","","","","","","","","8.38419709244257","7.93309085300808","7.03665726736734","8.29153278934837","8.31804604689276","9.67596590695753","5.56805659374109","5.31989020767322","4.61162692892498","3.76283758302929","5.04136247766571","5.78622749457875","4.20935153727215","3.44511447848891","7.83987162599023","9.74512337518214","7.57673067948075","7.87392613666457","9.36755356281801","9.47460309644563","7.71789436193325","7.58703882499185","9.84276895747752","10.3241116407395","9.74978574329813","10.7571602173834","11.6027923385954","12.8297321122929","13.271322969435","14.4104693727092","17.4018715986996","15.8729782147446","16.5906481296497","18.8250437213669","19.5801952081614","18.6761939208434","18.4474640537209","15.1135733987614","14.4583535288714","16.0096238594423","17.8455792589607","18.4184595925469","",
"China","CHN","Tariff rate, applied, simple mean, primary products (%)","TM.TAX.TCOM.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.67","30.9","29.25","","23.71","17.09","16.78","16.67","17.39","16","12.23","10.75","9.78","8.78","8.85","8.86","8.68","8.02","8.19","8","","","7.55","7.78","8.17","9.08","7.98","6.48","",
"China","CHN","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.75","38.27","34.13","","21.7","16.59","17.15","16.29","16.23","15.29","12.14","10.68","9.82","9.31","8.9","8.95","8.71","8.1","8.07","8.16","","","7.78","7.83","7.84","8.35","7.5","5.21","",
"China","CHN","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","","","","","2.7","","","","2.3","","","","","","","","","","","","","","","","","","","",
"China","CHN","Population, female","SP.POP.TOTL.FE.IN","323234247","320153437","322953588","331140640","339068212","347401432","357394687","366879507","376753699","387362696","398315770","409475913","419696503","429398133","438355316","446155493","453096478","459292487","465460554","471700516","477656979","483835348","491049203","498238544","504855230","511798492","519471732","527858967","536408672","544679377","552721134","560312586","567224558","573790071","580322015","586672507","592868311","598982994","604764109","610004104","614775825","619165993","623205125","626956157","630545489","634130240","637560457","640793072","644001246","647159372","650275748","653422748","656677290","660023537","663493378","667009225","670780903","674707818","677972245","680596325","",
"China","CHN","Population ages 65 and above, total","SP.POP.65UP.TO","24604942","24506581","24462536","24558486","24528808","24486185","25674798","26904327","28182576","29454226","30670664","32098200","33453776","34782914","36108504","37429714","39059632","40679629","42360214","44104813","45866191","47957992","50089615","52150310","54037922","55809578","57513608","59097827","60605526","62163844","63912757","65520712","67420802","69533392","71694024","73788987","76621226","79101030","81359560","83624513","86009518","88263699","90680607","93162743","95478238","97550467","99711068","101646383","103531377","105598689","108012365","111013766","114178413","117806757","122325870","127959922","135145445","143424233","152098421","160348563","",
"China","CHN","Population ages 40-44, female (% of female population)","SP.POP.4044.FE.5Y","5.55183493257033","5.47841086557224","5.34707054459794","5.19109414872823","5.05246492277647","4.94823033285794","4.82530494431089","4.73701743624097","4.67797323532917","4.64195929454122","4.62673278579379","4.62488193015655","4.65425928941241","4.69525152543118","4.72487369979605","4.73172561647407","4.73017161578644","4.71273344477775","4.68267297210918","4.64361469398891","4.59905518020632","4.55716219541662","4.50429061789298","4.46257705472261","4.4597227228453","4.51033360541659","4.59480750535013","4.71241156538729","4.87524928843854","5.10484652385317","5.40906608751533","5.75757465046691","6.21376425073466","6.6900490608034","7.05048519024324","7.21932869302481","7.27541127920456","7.12320768275717","6.87150830168987","6.68377798673254","6.65000490719528","6.70925388531539","6.89806428699422","7.18649183854839","7.51776414487004","7.85378845676828","8.21107684933153","8.58620322477198","8.93621196227395","9.20668808286633","9.36297080635002","9.40797844430216","9.34767684225439","9.18946761758764","8.94752091163133","8.63759036734294","8.26400957539143","7.82634187378729","7.37561701331899","6.98496384850823","",
